ISBN;NAME;DESCRIPTION;AUTHOR;PUBLICATIONYEAR;IMAGEURLM;IMAGEURLL;PRICE;BOOKSAVAILABLE;RATING
2070423204;Lieux dits;Lieux dits;Michel Tournier;2002;http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg;248.8819873113175;6;3.5
0345260317;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;1978;http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg;473.5415291587892;5;1.1333333333333333
0394743741;The yawning heights;The yawning heights;Aleksandr Zinoviev;1980;http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg;309.86110175985874;2;7.0
042511774X;Breathing Lessons;Breathing Lessons;Anne Tyler;1994;http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg;18.518866951123314;1;1.8705882352941177
0804106304;The Joy Luck Club;The Joy Luck Club;Amy Tan;1994;http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg;314.3595398100014;5;3.0635838150289016
1853262404;Heart of Darkness (Wordsworth Collection);Heart of Darkness (Wordsworth Collection);Joseph Conrad;1998;http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg;401.1736706872794;5;1.0769230769230769
0312970242;The Angel Is Near;The Angel Is Near;Deepak Chopra;2000;http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg;465.4867054717649;1;1.0
1853260053;Tess of the D'Urbervilles (Wordsworth Classics);Tess of the D'Urbervilles (Wordsworth Classics);Thomas Hardy;1997;http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg;313.42999198547216;7;2.689655172413793
1414035004;The Adventures of Drew and Ellie: The Magical Dress;The Adventures of Drew and Ellie: The Magical Dress;Charles Noland;2003;http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg;290.0417821726818;8;10.0
0060938412;The Accidental Virgin;The Accidental Virgin;Valerie Frankel;2003;http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg;131.593608199791;5;3.5625
0140067477;The Tao of Pooh;The Tao of Pooh;Benjamin Hoff;1983;http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg;173.14752748872414;4;4.296296296296297
0345465083;Seabiscuit;Seabiscuit;LAURA HILLENBRAND;2003;http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg;215.02583925513014;3;2.732620320855615
0451625889;The Prince;The Prince;Niccolo Machiavelli;1952;http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg;354.30440295110645;5;0.0
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991;http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg;111.02104000042279;3;3.651685393258427
0441783589;Starship Troopers;Starship Troopers;Robert A. Heinlein;1987;http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg;391.88391398719654;8;3.151898734177215
0394895894;The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1);PHILIP PULLMAN;1988;http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg;136.69959315806045;7;2.4186046511627906
1569871213;Black Beauty (Illustrated Classics);Black Beauty (Illustrated Classics);Anna Sewell;1995;http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg;398.46516330758993;1;5.25
0375410538;Anil's Ghost;Anil's Ghost;MICHAEL ONDAATJE;2000;http://images.amazon.com/images/P/0375410538.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg;223.49339182746448;0;2.7586206896551726
0966986105;Prescription for Terror;Prescription for Terror;Sandra Levy Ceren;1999;http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg;106.55428440702369;8;10.0
087113375X;Modern Manners: An Etiquette Book for Rude People;Modern Manners: An Etiquette Book for Rude People;P.J. O'Rourke;1990;http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg;56.6062718247361;4;5.0
0340767936;Turning Thirty;Turning Thirty;Mike Gayle;2000;http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg;2.3780099698627044;4;3.4166666666666665
0743403843;Decipher;Decipher;Stel Pavlou;2002;http://images.amazon.com/images/P/0743403843.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743403843.01.MZZZZZZZ.jpg;385.90124953850477;2;2.142857142857143
0060930365;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell;Sarah Payne Stuart;1999;http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060930365.01.LZZZZZZZ.jpg;261.05937484988294;9;2.25
0060177586;Standing Firm: A Vice-Presidential Memoir;Standing Firm: A Vice-Presidential Memoir;Dan Quayle;1994;http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060177586.01.LZZZZZZZ.jpg;174.3403546255086;6;0.0
0071416331;Team Bush : Leadership Lessons from the Bush White House;Team Bush : Leadership Lessons from the Bush White House;Donald F. Kettl;2003;http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0071416331.01.LZZZZZZZ.jpg;184.5505802550943;4;8.0
0375509038;The Right Man : The Surprise Presidency of George W. Bush;The Right Man : The Surprise Presidency of George W. Bush;DAVID FRUM;2003;http://images.amazon.com/images/P/0375509038.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375509038.01.LZZZZZZZ.jpg;253.03893721126346;9;4.0
0553062042;Daybreakers Louis Lamour Collection;Daybreakers Louis Lamour Collection;Louis Lamour;1981;http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553062042.01.LZZZZZZZ.jpg;352.73805454773384;3;3.5
0316769487;The Catcher in the Rye;The Catcher in the Rye;J.D. Salinger;1991;http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg;285.8759533442382;7;4.635235732009925
8445071408;El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish));J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071408.01.LZZZZZZZ.jpg;188.6611144229446;5;6.5625
8445071769;El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback));J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071769.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071769.01.LZZZZZZZ.jpg;400.3776701431685;1;6.0
8445071777;El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.);J. R. R. Tolkien;2001;http://images.amazon.com/images/P/8445071777.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/8445071777.01.LZZZZZZZ.jpg;140.0107863293702;7;6.5
0679429220;Midnight in the Garden of Good and Evil: A Savannah Story;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994;http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg;6.374655749587454;9;3.159090909090909
0671867156;Pretend You Don't See Her;Pretend You Don't See Her;Mary Higgins Clark;1998;http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg;63.86925606535304;8;2.5838150289017343
0312252617;Fast Women;Fast Women;Jennifer Crusie;2001;http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg;157.97833842755378;2;3.7777777777777777
0312261594;Female Intelligence;Female Intelligence;Jane Heller;2001;http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg;479.1748837912195;9;3.68
0316748641;Pasquale's Nose: Idle Days in an Italian Town;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg;316.03133570296075;2;3.0
0316973742;The Gospel of Judas: A Novel;The Gospel of Judas: A Novel;Simon Mawer;2002;http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg;290.6253006143708;7;1.2
0385235941;Prize Stories, 1987: The O'Henry Awards;Prize Stories, 1987: The O'Henry Awards;William Abrahams;1987;http://images.amazon.com/images/P/0385235941.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385235941.01.LZZZZZZZ.jpg;145.2546478341817;9;6.0
0446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000;http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg;25.129319867227107;3;5.359375
